created,text,,,,,,,,,,,,,,,,
12/6/2021 7:42,Philando Castile #BlackLivesMatter,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
,RT @OneInAnARMY: ARMY,,,,,,,,,,,,,,,,
,You #MatchedAMillion–???,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:41,"It's really amazing to see so many of you coming together to support #BlackLivesMatter. ThankÉ?›""",,,,,,,,,,,,,,,,
,RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:21,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:21,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:21,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:20,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what maÉ?›",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:20,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
12/6/2021 7:20," @ThÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:20,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:20,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
,RT @LDSAgency: –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
,@seabikeblog   ,,,,,,,,,,,,,,,,
12/6/2021 7:20,"@BernieSandersÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:20,Socialist Alternative @SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshamaÉ?› https://t.co/QsZXOiwf7R,,,,,,,,,,,,,,,,
,This freaking psycho is going to start a war with Iran. WTAF? ,,,,,,,,,,,,,,,,
12/6/2021 7:20,"#naftalibennett #bennett #israel #israli #palestineÉ?› https://t.co/UALh6w8Al1""",,,,,,,,,,,,,,,,
